case,score
case_0001,176.0839967
case_0002,174.2079116
case_0003,173.8933485
case_0004,176.4053759
case_0005,174.6999201
case_0006,175.2314563
case_0007,176.3676610
case_0008,175.6179649
case_0009,176.4393204
case_0010,177.2063783
case_0011,175.2538328
case_0012,174.2873357
case_0013,175.0630850
case_0014,176.1176713
case_0015,174.2335516
case_0016,173.9754222
case_0017,176.2995727
case_0018,174.5373803
case_0019,175.1078575
case_0020,174.7270913
case_0021,143.9782943
case_0022,144.2565406
case_0023,145.1917853
case_0024,143.5581757
case_0025,144.0305014
case_0026,144.5217759
case_0027,144.1787917
case_0028,145.0553716
case_0029,144.5337748
case_0030,144.0877917
case_0031,144.2676947
case_0032,143.7933310
case_0033,145.3481127
case_0034,143.7912148
case_0035,143.2509659
case_0036,144.9006410
case_0037,143.4702122
case_0038,144.0128704
case_0039,143.9524045
case_0040,144.3050351
case_0041,140.7418807
case_0042,139.7247177
case_0043,139.9536199
case_0044,140.3767907
case_0045,140.7130174
case_0046,140.3614500
case_0047,140.2432500
case_0048,139.7122941
case_0049,140.4736030
case_0050,140.7494100
